Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-167.5,0.0,6.5,-7.6,0,0,0
-141.3,0.0,5.3,-7.9,0,0,0
-121.3,0.0,3.3,-8.3,0,0,0
-106.2,0.0,4.0,-8.6,0,0,0
-93.5,0.0,3.7,-8.9,0,0,0
-82.5,0.0,3.8,-9.2,0,0,0
-72.1,0.0,3.3,-9.4,0,0,0
-61.3,0.0,2.8,-9.4,0,1,1
-49.6,7.0,3.3,-9.4,0,11,11
-37.3,13.9,3.3,-9.5,0,25,25
-23.4,19.0,3.8,-9.5,0,36,36
-8.5,21.8,2.8,-9.6,0,41,41
6.2,22.0,3.0,-9.6,0,44,44
21.1,19.7,3.2,-9.8,0,38,38
35.1,14.9,3.0,-9.6,0,30,30
47.5,8.3,2.4,-9.8,0,15,15
59.3,0.2,2.4,-9.8,0,1,1
70.3,0.0,1.7,-10.0,0,0,0
81.0,0.0,1.1,-10.3,0,0,0
91.6,0.0,0.8,-10.5,0,0,0
104.0,0.0,0.9,-10.8,0,0,0
118.4,0.0,0.4,-11.0,0,0,0
137.4,0.0,0.8,-11.3,0,0,0
162.6,0.0,0.9,-11.6,0,0,0
-168.0,0.0,0.4,-11.7,0,0,0
-141.5,0.0,0.3,-11.8,0,0,0
-121.5,0.0,0.2,-11.9,0,0,0
-106.3,0.0,0.1,-12.0,0,0,0
-94.1,0.0,0.3,-12.1,0,0,0
-83.0,0.0,0.7,-12.1,0,0,0
-72.3,0.0,0.8,-12.2,0,0,0
-61.4,0.0,1.1,-12.1,0,1,1
-50.1,7.2,1.2,-10.4,245,42,73
-37.4,14.1,1.0,-8.0,531,62,192
-23.5,19.2,0.7,-5.5,708,67,299
-8.6,22.0,0.3,-3.8,563,102,313
6.2,22.3,0.4,-2.8,506,114,306
21.1,19.9,0.7,-2.2,607,84,291
35.1,15.2,0.9,-2.1,616,57,218
47.6,8.5,1.2,-3.0,463,45,114
59.4,0.4,1.3,-4.6,0,4,4
70.3,0.0,1.2,-5.1,0,0,0
81.1,0.0,1.1,-5.5,0,0,0
92.0,0.0,1.3,-6.0,0,0,0
104.1,0.0,1.6,-6.5,0,0,0
118.5,0.0,1.7,-6.9,0,0,0
137.5,0.0,2.2,-7.4,0,0,0
162.6,0.0,1.9,-7.8,0,0,0
-168.1,0.0,2.2,-8.3,0,0,0
-142.1,0.0,1.6,-8.8,0,0,0
-122.1,0.0,1.7,-9.3,0,0,0
-106.5,0.0,1.2,-9.6,0,0,0
-94.2,0.0,1.5,-9.9,0,0,0
-83.2,0.0,1.7,-10.1,0,0,0
-72.4,0.0,2.2,-10.4,0,0,0
-61.5,0.0,2.2,-10.4,0,1,1
-50.2,7.3,1.8,-9.0,92,51,63
-37.4,14.3,2.1,-7.4,141,108,143
-23.6,19.4,1.4,-5.6,304,122,224
-9.1,22.3,1.7,-4.3,300,149,263
6.1,22.5,1.2,-3.4,302,151,266
21.1,20.1,1.5,-2.9,352,121,242
35.2,15.4,1.4,-2.9,354,87,181
48.0,8.7,1.3,-3.6,275,52,93
59.4,0.7,1.9,-4.9,0,3,3
70.4,0.0,1.8,-5.0,0,0,0
81.2,0.0,2.1,-5.0,0,0,0
92.1,0.0,1.7,-5.1,0,0,0
